Email;Event;EyeCenter0X;EyeCenter0Y;EyeCenter0Z;EyeCenter1X;EyeCenter1Y;EyeCenter1Z;Framecount;GazeConfidence;GazeDistance;GazeNormal0X;GazeNormal0Y;GazeNormal0Z;GazeNormal1X;GazeNormal1Y;GazeNormal1Z;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HeadCameraRotTravelX;HeadCameraRotTravelY;HeadCameraRotTravelZ;LeftControllerPosTravelX;LeftControllerPosTravelY;LeftControllerPosTravelZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerRotTravelX;LeftControllerRotTravelY;LeftControllerRotTravelZ;LocalGazeDirectionX;LocalGazeDirectionY;LocalGazeDirectionZ;PupilTime;PupilTimeSample;RightControllerLaserPosTravelX;RightControllerLaserPosTravelY;RightControllerLaserPosTravelZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosTravelX;RightControllerPosTravelY;RightControllerPosTravelZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerRotTravelX;RightControllerRotTravelY;RightControllerRotTravelZ;SessionID;Timestamp;UnityToPupilTimeOffset;ViewportLowerLeftX;ViewportLowerLeftY;ViewportLowerLeftZ;ViewportLowerMiddleX;ViewportLowerMiddleY;ViewportLowerMiddleZ;ViewportLowerRightX;ViewportLowerRightY;ViewportLowerRightZ;ViewportUpperLeftX;ViewportUpperLeftY;ViewportUpperLeftZ;ViewportUpperMiddleX;ViewportUpperMiddleY;ViewportUpperMiddleZ;ViewportUpperRightX;ViewportUpperRightY;ViewportUpperRightZ;WorldGazeDirectionX;WorldGazeDirectionY;WorldGazeDirectionZ;WorldGazeHitObjectIsMole;WorldGazeHitObjectIsWall;WorldGazeHitObjectMoleID;WorldGazeHitObjectName;WorldGazeHitPositionX;WorldGazeHitPositionY;WorldGazeHitPositionZ;WorldGazeOriginX;WorldGazeOriginY;WorldGazeOriginZ
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5574;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0131;1.1972;-0.0915;3.5732;5.4988;0.8862;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.1183;0.8068;0.1851;286.1073;346.4098;10.2173;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;0.0000;0.0000;0.0000;-393.7580;-819.3182;-414.4910;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.2381;0.9898;0.2710;287.1290;311.1561;59.5609;0.0000;0.0000;0.0000;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.5709;NULL;-2.0353;-0.8039;4.2954;0.4810;-2.2974;3.4169;3.1209;-0.4969;3.7488;-2.7528;2.4015;5.2792;0.6531;4.6534;6.0800;3.1465;2.4952;4.4615;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5575;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0132;1.1971;-0.0916;3.5433;5.5874;0.9929;0.0299;0.0887;0.1067;0.0000;0.0000;0.0000;-0.1183;0.8068;0.1851;286.0758;346.3144;10.3039;0.0315;0.0954;0.0866;NULL;NULL;NULL;NULL;NULL;0.0454;0.0331;0.0219;-393.7125;-819.3513;-414.4691;0.0000;0.0000;0.0000;0.0002;0.0002;0.0004;0.2380;0.9896;0.2714;287.2850;310.8461;59.9248;0.1560;0.3100;0.3640;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.6046;NULL;-2.0252;-0.8063;4.2988;0.4927;-2.2954;3.4173;3.1297;-0.4898;3.7448;-2.7474;2.3980;5.2826;0.6554;4.6566;6.0778;3.1505;2.5027;4.4564;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5576;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0131;1.1971;-0.0917;3.5420;5.5553;0.9652;0.0013;0.0322;0.0277;0.0000;0.0001;0.0001;-0.1183;0.8067;0.1852;286.0969;346.3375;10.2778;0.0211;0.0231;0.0261;NULL;NULL;NULL;NULL;NULL;0.0205;0.0206;0.0601;-393.6920;-819.3307;-414.5292;0.0000;0.0000;0.0000;0.0000;0.0001;0.0000;0.2380;0.9897;0.2714;287.3243;310.8875;59.8983;0.0393;0.0414;0.0265;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.6416;NULL;-2.0286;-0.8051;4.2978;0.4891;-2.2954;3.4177;3.1268;-0.4910;3.7465;-2.7497;2.3997;5.2810;0.6537;4.6567;6.0779;3.1487;2.5015;4.4580;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5577;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0130;1.1971;-0.0917;3.5683;5.4102;0.9715;0.0263;0.1451;0.0062;0.0001;0.0000;0.0000;-0.1182;0.8067;0.1852;286.1115;346.4068;10.2213;0.0146;0.0693;0.0565;NULL;NULL;NULL;NULL;NULL;0.0134;0.0060;0.0013;-393.7055;-819.3246;-414.5280;0.0000;0.0000;0.0000;0.0004;0.0002;0.0003;0.2383;0.9899;0.2710;287.1762;311.0468;59.7068;0.1481;0.1593;0.1915;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.6706;NULL;-2.0397;-0.8073;4.2917;0.4804;-2.2971;3.4173;3.1170;-0.4926;3.7536;-2.7635;2.3970;5.2745;0.6378;4.6539;6.0811;3.1370;2.4995;4.4665;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5578;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0131;1.1971;-0.0917;3.6039;5.3966;0.9680;0.0356;0.0136;0.0034;0.0001;0.0001;0.0001;-0.1182;0.8068;0.1851;286.0674;346.3622;10.2530;0.0442;0.0446;0.0317;NULL;NULL;NULL;NULL;NULL;0.0132;0.0280;0.0432;-393.6923;-819.3526;-414.4847;0.0000;0.0000;0.0000;0.0002;0.0002;0.0002;0.2386;0.9901;0.2709;287.0662;311.1002;59.6086;0.1100;0.0534;0.0983;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.6976;NULL;-2.0409;-0.8097;4.2900;0.4792;-2.2993;3.4152;3.1160;-0.4954;3.7532;-2.7646;2.3940;5.2746;0.6368;4.6500;6.0833;3.1361;2.4963;4.4680;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5579;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0133;1.1971;-0.0918;3.5870;5.4487;0.9953;0.0169;0.0521;0.0273;0.0000;0.0001;0.0001;-0.1182;0.8069;0.1850;286.0568;346.4013;10.2132;0.0106;0.0391;0.0398;NULL;NULL;NULL;NULL;NULL;0.0084;0.0056;0.0030;-393.6840;-819.3582;-414.4817;0.0000;0.0000;0.0000;0.0001;0.0001;0.0001;0.2386;0.9901;0.2708;287.0775;310.9780;59.7938;0.0113;0.1222;0.1852;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.7306;NULL;-2.0358;-0.8096;4.2922;0.4842;-2.2981;3.4156;3.1204;-0.4928;3.7509;-2.7603;2.3940;5.2767;0.6407;4.6519;6.0818;3.1397;2.4991;4.4649;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5580;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0134;1.1972;-0.0917;3.5644;5.4836;0.9853;0.0226;0.0349;0.0100;0.0001;0.0001;0.0001;-0.1181;0.8068;0.1851;286.0775;346.4965;10.1290;0.0208;0.0952;0.0842;NULL;NULL;NULL;NULL;NULL;0.0047;0.0068;0.0179;-393.6887;-819.3650;-414.4638;0.0000;0.0000;0.0000;0.0001;0.0000;0.0001;0.2385;0.9901;0.2709;287.1431;310.8376;59.9294;0.0656;0.1404;0.1357;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.7556;NULL;-2.0332;-0.8075;4.2943;0.4861;-2.2967;3.4168;3.1227;-0.4916;3.7497;-2.7566;2.3966;5.2779;0.6451;4.6544;6.0801;3.1428;2.5006;4.4624;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5581;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0137;1.1972;-0.0918;3.5926;5.5106;0.9031;0.0282;0.0270;0.0822;0.0001;0.0000;0.0001;-0.1180;0.8068;0.1850;286.0705;346.6103;9.9927;0.0070;0.1138;0.1362;NULL;NULL;NULL;NULL;NULL;0.0172;0.0167;0.0166;-393.7059;-819.3483;-414.4804;0.0000;0.0000;0.0000;0.0000;0.0001;0.0002;0.2384;0.9901;0.2710;287.1717;311.0046;59.7535;0.0286;0.1671;0.1759;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.7906;NULL;-2.0334;-0.8060;4.2948;0.4832;-2.2986;3.4153;3.1227;-0.4975;3.7473;-2.7516;2.3988;5.2799;0.6540;4.6513;6.0809;3.1475;2.4944;4.4611;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5582;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0138;1.1972;-0.0917;3.5889;5.5465;0.8898;0.0037;0.0359;0.0133;0.0001;0.0000;0.0000;-0.1180;0.8068;0.1851;286.0602;346.6035;10.0086;0.0103;0.0068;0.0159;NULL;NULL;NULL;NULL;NULL;0.0113;0.0115;0.0337;-393.6946;-819.3368;-414.5141;0.0000;0.0000;0.0000;0.0000;0.0001;0.0001;0.2385;0.9899;0.2711;287.2048;311.0161;59.7194;0.0331;0.0115;0.0340;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.8136;NULL;-2.0310;-0.8052;4.2963;0.4847;-2.2984;3.4153;3.1248;-0.4979;3.7455;-2.7478;2.3999;5.2816;0.6588;4.6517;6.0802;3.1508;2.4941;4.4590;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5583;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0140;1.1972;-0.0917;3.5829;5.5727;0.8575;0.0059;0.0262;0.0323;0.0002;0.0000;0.0001;-0.1178;0.8069;0.1852;286.0811;346.7366;9.8711;0.0209;0.1331;0.1376;NULL;NULL;NULL;NULL;NULL;0.0338;0.0144;0.0038;-393.6607;-819.3512;-414.5179;0.0000;0.0000;0.0000;0.0001;0.0001;0.0000;0.2386;0.9898;0.2711;287.2037;311.0689;59.6837;0.0010;0.0528;0.0358;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.8406;NULL;-2.0297;-0.8033;4.2976;0.4847;-2.2981;3.4156;3.1260;-0.4990;3.7443;-2.7443;2.4023;5.2828;0.6639;4.6523;6.0794;3.1540;2.4931;4.4573;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
